Depth,Width,Parameters,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50
48,36,0.471034,28.119999,34.759998,34.320000,38.950001,45.739998,45.000000,52.750000,52.180000,40.869999,57.259998,48.199997,61.519997,62.430000,61.469997,42.309998,64.659996,60.789997,63.849998,67.099998,64.619995,66.299995,68.409996,73.369995,70.449997,68.369995,71.250000,66.290001,72.080002,77.089996,73.729996,76.669998,76.199997,72.610001,77.549995,78.889999,79.509995,80.930000,79.549995,82.110001,82.860001,83.739998,84.329994,84.529999,84.860001,85.599998,85.599998,85.599998,85.629997,85.809998,85.799995
34,78,1.523740,36.980000,40.930000,53.459999,57.020000,57.359997,62.160000,64.389999,47.090000,64.979996,59.509998,66.250000,75.169998,74.959999,70.869995,73.529999,69.229996,73.589996,79.189995,73.790001,74.139999,74.070000,80.599998,73.659996,80.879997,81.619995,82.759995,83.979996,84.540001,82.419998,85.220001,86.239998,85.419998,87.269997,88.209999,88.430000,87.879997,87.729996,88.709999,89.400002,89.449997,90.709999,90.339996,91.379997,91.110001,91.290001,91.349998,91.489998,91.479996,91.519997,91.549995
30,100,2.095010,38.610001,45.399998,50.989998,60.389999,60.989998,54.889999,64.159996,69.019997,75.009995,73.739998,73.669998,79.419998,77.400002,77.989998,75.259995,78.589996,78.290001,82.239998,83.009995,82.799995,80.549995,83.000000,83.970001,82.639999,82.889999,84.680000,84.689995,83.799995,86.939995,85.529999,88.809998,88.519997,88.089996,89.119995,89.509995,90.049995,90.579994,90.649994,91.430000,90.750000,91.879997,92.250000,92.389999,92.500000,92.610001,92.699997,92.879997,92.919998,92.989998,93.000000
21,36,0.201142,38.230000,42.889999,54.340000,53.549999,61.119999,70.400002,70.479996,71.879997,73.540001,73.040001,76.720001,70.540001,75.759995,75.599998,76.419998,77.360001,78.389999,81.129997,80.979996,81.820000,79.419998,83.259995,81.320000,77.379997,84.509995,84.759995,80.070000,82.180000,85.759995,85.559998,85.189995,86.209999,87.059998,86.809998,85.250000,88.459999,88.169998,88.479996,88.959999,89.449997,89.949997,90.009995,90.029999,90.259995,90.119995,90.309998,90.540001,90.329994,90.519997,90.619995
20,120,2.045770,41.889999,60.609997,67.529999,70.360001,70.320000,74.849998,69.000000,80.279999,81.049995,77.040001,83.949997,82.889999,81.059998,83.209999,76.009995,85.209999,84.729996,83.699997,83.949997,85.000000,85.989998,86.959999,87.379997,89.220001,88.970001,89.229996,89.439995,89.479996,89.439995,90.790001,90.000000,90.979996,91.439995,91.970001,92.279999,92.320000,92.769997,92.709999,92.899994,93.269997,93.290001,93.729996,93.790001,93.459999,93.729996,93.860001,93.919998,93.979996,93.919998,93.959999
17,72,0.639586,51.739998,54.230000,65.220001,71.040001,75.680000,76.129997,78.119995,72.369995,77.989998,77.830002,82.389999,79.430000,83.979996,81.299995,84.139999,82.500000,83.389999,84.019997,79.989998,86.639999,85.059998,85.570000,86.220001,83.769997,86.949997,86.409996,86.829994,88.009995,88.829994,85.989998,88.169998,90.079994,90.649994,89.949997,90.720001,91.009995,91.599998,91.329994,92.209999,92.720001,92.610001,92.729996,92.959999,92.949997,92.979996,93.220001,93.180000,93.169998,93.220001,93.189995
46,108,3.893950,33.899998,37.099998,41.779999,43.520000,51.379997,57.219997,56.309998,53.539997,63.399998,58.849998,65.729996,67.040001,65.689995,70.509995,72.809998,70.639999,73.729996,75.669998,76.459999,74.320000,74.659996,69.339996,73.009995,77.299995,80.790001,72.680000,81.119995,81.419998,82.849998,83.180000,83.119995,85.019997,86.449997,85.639999,86.089996,85.949997,87.500000,87.570000,88.279999,89.150002,89.549995,89.750000,90.119995,90.279999,90.629997,90.869995,90.759995,90.790001,91.049995,90.750000
25,122,2.694990,45.579998,58.180000,63.699997,67.089996,68.070000,69.470001,74.389999,74.610001,76.029999,78.650002,79.119995,80.729996,80.059998,81.019997,81.939995,84.820000,83.129997,82.750000,86.570000,81.459999,84.400002,87.909996,86.360001,86.820000,85.699997,87.860001,89.169998,89.070000,87.989998,89.070000,90.899994,90.669998,90.579994,91.169998,91.849998,91.799995,91.659996,92.489998,92.860001,93.379997,93.290001,93.419998,93.579994,93.989998,94.000000,93.919998,94.000000,93.970001,93.970001,93.989998
10,100,0.735510,53.859997,64.790001,69.379997,75.099998,75.659996,79.709999,77.869995,80.739998,81.369995,80.089996,83.400002,84.150002,84.699997,85.110001,85.829994,84.959999,85.000000,84.220001,86.250000,86.869995,83.400002,86.470001,88.150002,86.509995,87.610001,88.470001,89.189995,89.629997,89.829994,90.049995,90.250000,90.680000,90.979996,91.320000,91.320000,91.599998,91.009995,91.879997,92.279999,92.349998,92.869995,93.169998,92.839996,93.409996,93.389999,93.279999,93.360001,93.349998,93.409996,93.320000
48,92,2.888442,29.420000,37.879997,32.860001,47.199997,51.739998,57.430000,54.279999,52.049999,47.239998,55.930000,65.900002,60.919998,65.949997,65.769997,62.919998,62.410000,66.479996,52.369999,62.689999,69.389999,69.189995,65.549995,73.949997,60.980000,74.669998,76.509995,76.080002,65.479996,78.419998,77.189995,79.329994,80.169998,81.449997,81.919998,83.720001,82.320000,84.629997,80.339996,86.299995,86.040001,86.849998,87.259995,87.709999,87.829994,87.909996,88.150002,88.159996,88.290001,88.329994,88.449997
